model,release_date,hashrate_ths,efficiency,daily_revenue,daily_profit,margin_percent,cost,break_even,cost_per_hash,expected_cost,excost_per_hash,price_diff_usd,price_diff_pct,power_kw,daily_cost
Antminer U3S23Hyd,25-May,1160,9.5,69.6,66.95519999999999,96.19999999999999,28400.0,17.13992784,24.48,16470.49,14.2,11929.51,57994668900000.0,11.02,2.6448
Antminer U3S21EXPH,24-Sep,860,13.0,51.6,48.9168,94.8,20878.0,17.3035144,24.28,12049.85,14.01,8828.15,57715518100000.0,11.18,2.6832
Antminer S23 Hydro,25-May,580,9.5,34.8,33.477599999999995,96.19999999999999,17500.0,21.1231505,30.17,8235.24,14.2,9264.76,47058531300000.0,5.51,1.3224
Antminer S21 XP+ Hyd.,24-Jun,500,11.0,30.0,28.68,95.6,15500.0,21.86925712,31.0,7057.64,14.12,8442.36,45533161300000.0,5.5,1.32
SEALMINER A2 Pro Hyd,25-Mar,500,14.9,30.0,28.212,94.03999999999999,8500.0,12.23725005,17.0,6959.82,13.92,1540.18,81880189400000.02,7.45,1.7880000000000003
Antminer U3S19XPH,24-Sep,514,20.6,30.84,28.29624,91.75175097276265,10000.0,14.43622201,19.46,7029.62,13.68,2970.38,70296232700000.0,10.599,2.5437600000000002
Antminer S21 XP Hydro,24-Jun,473,12.0,28.38,27.01776,95.2,14500.0,21.7374809,30.66,6651.5,14.06,7848.5,45872441500000.0,5.676,1.36224
Whatsminer M63S++,24-May,478,15.5,28.68,26.90184,93.80000000000001,8300.0,12.53859944,17.36,6640.32,13.89,1659.68,80003818699999.98,7.409,1.77816
Teraflux AH3880,25-Mar,450,14.5,27.0,25.434,94.2,13995.0,22.34026887,31.1,6272.3,13.94,7722.7,44818183000000.0,6.525,1.5660000000000003
Antminer S23 Immersion,25-May,442,12.0,26.52,25.24704,95.19999999999999,10400.0,16.68450866,23.53,6215.57,14.06,4184.43,59765099600000.0,5.304,1.27296
Sealminer A2Hyd,24-Nov,446,16.5,26.759999999999998,24.99384,93.4,9000.0,14.64836812,20.18,6175.69,13.85,2824.31,68618767800000.016,7.359,1.76616
Whatsminer M65S++,24-Dec,440,17.0,26.4,24.604799999999997,93.19999999999999,6082.94,10.06209259,13.82,6082.94,13.82,,100000000000000.0,7.48,1.7952000000000001
Antminer S21e XP Hyd,24-Jun,430,13.0,25.8,24.4584,94.8,13200.0,21.88010251,30.7,6024.92,14.01,7175.08,45643355600000.0,5.59,1.3416
Whatsminer M63S,23-Sep,408,18.0,24.48,22.71744,92.8,6350.0,11.38785573,15.56,5623.04,13.78,726.96,88551733600000.0,7.344,1.7625600000000001
Whatsminer M63S+,23-Sep,402,17.0,24.119999999999997,22.479839999999996,93.19999999999999,6080.0,11.00791373,15.12,5557.59,13.82,522.41,91407807500000.0,6.834,1.6401599999999998
